Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-02-26;B;1M;0.15%
8088;2023-02-26;B;3M;-11.04%
8088;2023-02-26;B;6M;-9.54%
8088;2023-02-26;B;1Y;-10.79%
8088;2023-02-26;B;YTD;-0.39%
8088;2023-02-27;B;1M;1.40%
8088;2023-02-27;B;3M;-9.45%
8088;2023-02-27;B;6M;-7.92%
8088;2023-02-27;B;1Y;-9.20%
8088;2023-02-27;B;YTD;1.38%
8088;2023-02-28;B;1M;1.08%
8088;2023-02-28;B;3M;-9.13%
8088;2023-02-28;B;6M;-8.22%
8088;2023-02-28;B;1Y;-9.36%
8088;2023-02-28;B;YTD;1.05%
8088;2023-03-01;B;1M;0.26%
8088;2023-03-01;B;3M;-9.92%
8088;2023-03-01;B;6M;-5.66%
8088;2023-03-01;B;1Y;-10.74%
8088;2023-03-01;B;YTD;-0.73%
8088;2023-03-02;B;1M;-0.01%
8088;2023-03-02;B;3M;-9.70%
8088;2023-03-02;B;6M;-4.42%
8088;2023-03-02;B;1Y;-11.49%
8088;2023-03-02;B;YTD;-1.06%
8088;2023-03-03;B;1M;-0.66%
8088;2023-03-03;B;3M;-9.24%
8088;2023-03-03;B;6M;-3.93%
8088;2023-03-03;B;1Y;-10.06%
8088;2023-03-03;B;YTD;-0.55%
8088;2023-03-04;B;1M;-0.66%
8088;2023-03-04;B;3M;-9.24%
8088;2023-03-04;B;6M;-3.93%
8088;2023-03-04;B;1Y;-9.28%
8088;2023-03-04;B;YTD;-0.56%
8088;2023-03-05;B;1M;-0.66%
8088;2023-03-05;B;3M;-8.86%
8088;2023-03-05;B;6M;-1.51%
8088;2023-03-05;B;1Y;-9.28%
8088;2023-03-05;B;YTD;-0.56%
8088;2023-03-06;B;1M;-2.13%
8088;2023-03-06;B;3M;-7.29%
8088;2023-03-06;B;6M;-3.30%
8088;2023-03-06;B;1Y;-9.04%
8088;2023-03-06;B;YTD;-0.31%
8088;2023-03-07;B;1M;-3.87%
8088;2023-03-07;B;3M;-8.65%
8088;2023-03-07;B;6M;-6.06%
8088;2023-03-07;B;1Y;-9.27%
